"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-06",,"86","94",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-07",,"83",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-08",,"89","99",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-09",,"86","96",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-10",,"87","95",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-11",,"78","83",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-12",,"85",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-13",,"88",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-14",,"86",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-15",,"85",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-16",,"81",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-17",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-18",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-19",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-20",,"80",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-21",,"81",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-22",,"84",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-23",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-24",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-25",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-26",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-27",,"85",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-02-28",,"86",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-01",,"89",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-02",,"89",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-03",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-04",,"89",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-05",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-06",,"86",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-07",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-08",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-09",,"88",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-10",,"86",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-11",,"86",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-12",,"87","95",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-13",,"82","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-14",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-15",,"88",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-16",,"85","93",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-17","0.08","79","91","68"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-18","0.02","80","87","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-19","0.00","85","92","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-20",,"86","96","76"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-21",,"83","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-22",,"85","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-23",,"83","93","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-24",,"85","98","77"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-25","0.00","83","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-26",,"78","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-27",,"83","93",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-28",,"84","97","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-29","0.01","81","91","70"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-30","0.00","80","91","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-03-31",,"85","95","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-01",,"84","92","73"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-02",,"84","94","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-03",,"80",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-04",,"87","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-05",,"83","93","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-06",,"82","89","76"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-07",,"83","96","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-08","1.61","80","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-09","0.01","83","91","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-10","0.00","83","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-11",,"84","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-12",,"77","86",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-13",,"80","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-14",,"85","93","76"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-15",,"85",,"75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-16",,"84","93","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-17",,"84","95",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-18",,"85","93","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-19",,"85",,"75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-20",,"82","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-21","0.55","83",,"74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-22","0.00","84","93","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-23",,"86","97",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-24",,"83","95",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-25","2.40","80",,"71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-26","0.16","79","89","72"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-27","0.00","81","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-28",,"83","92","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-29",,"80",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-04-30",,"86","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-01",,"84","92","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-02",,"83","94","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-03",,"83","92","75"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-04",,"75","81",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-05",,"80","88","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-06",,"81","89","71"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-07",,"82","90","74"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2015-05-08",,"82","89","76"
