Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,24.10.24,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.425671202,0.420663439,0.416220513,0.412753924,0.410781479,0.410440132,0.4094704,0.405780087,0.400905486,0.397425196
Cote d'Ivoire,CIV,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.395652064,2.380951675,2.375594663,2.377958513,2.386854846,2.400978203,2.40883204,2.403087984,2.395939283,2.40423127
Cote d'Ivoire,CIV,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,2.307403358,2.297253094,2.298265794,2.30914763,2.328402128,2.354621612,2.378825994,2.392688964,2.40414601,2.427124855
Cote d'Ivoire,CIV,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,1.426806751,1.434899003,1.436769078,1.433033931,1.426052799,1.419225227,1.414698514,1.415279923,1.426597738,1.455312985
Cote d'Ivoire,CIV,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,2.456911406,2.532001202,2.615050912,2.700625864,2.783469449,2.861199516,2.932784179,2.999373672,3.063475471,3.127469493
Cote d'Ivoire,CIV,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,4.676718988,4.73905859,4.796964564,4.860634206,4.920252892,4.968169659,5.006609463,5.024019086,5.009939805,4.975073497
Cote d'Ivoire,CIV,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,6.856379191,6.741459739,6.606048934,6.459468063,6.34857818,6.305287946,6.313126625,6.360247805,6.441714965,6.515543141
Cote d'Ivoire,CIV,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.884898849,8.890850216,8.922301221,8.984892441,9.095249594,9.244615018,9.401417806,9.539892521,9.652226397,9.732418031
Cote d'Ivoire,CIV,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,53.7097469,54.00816826,54.31176558,54.60985834,54.92421424,55.2570173,55.59672596,55.9340609,56.27732128,56.6296276
Cote d'Ivoire,CIV,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,10.72245241,10.88356978,11.02045923,11.12166732,11.18629241,11.21914205,11.23033663,11.23349638,11.22652486,11.20002422
Cote d'Ivoire,CIV,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,14.56400638,14.49799183,14.42538803,14.32761906,14.20413459,14.06006637,13.9037358,13.76024538,13.65196753,13.55287459
Cote d'Ivoire,CIV,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,43.80868942,43.52931283,43.23720702,42.94499642,42.63180524,42.2966604,41.96506376,41.6526598,41.33478995,40.98861825
Cote d'Ivoire,CIV,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,16.36816244,16.15774701,15.95568669,15.7934471,15.65275716,15.5139599,15.38351215,15.25850007,15.11357969,14.96241239
Cote d'Ivoire,CIV,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,,,,,,,,7.4,,
Cote d'Ivoire,CIV,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,49.185529,50.452841,50.416794,51.684162,51.690427,52.972018,52.187348,51.003362,51.815062,
Cote d'Ivoire,CIV,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,58.263,58.947,59.069,59.723,59.94,60.59,60.351,59.941,60.282,
Cote d'Ivoire,CIV,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,,,15.5,22.3,21.5,,25.5,,,
Cote d'Ivoire,CIV,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,366.067,360.727,353.555,353.168,345.839,343.882,349.567,362.548,356.528,
Cote d'Ivoire,CIV,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,,6.2,7.5,8.4,9.2,9.1,9.4,9.7,,
Cote d'Ivoire,CIV,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2.643479931,2.556121783,2.592413977,2.482497386,2.534229058,2.193173057,2.185711855,,,
Cote d'Ivoire,CIV,Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,,,59.7,,,,,,,
Cote d'Ivoire,CIV,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,0.616,0.462,0.501,0.547,0.595,0.645,,,,
Cote d'Ivoire,CIV,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,73,79,87,83,84,81,75,76,76,
Cote d'Ivoire,CIV,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,0.8,0.74,0.69,0.57,0.48,0.42,0.37,0.36,0.31,
Cote d'Ivoire,CIV,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,2700,2400,3100,2700,2500,1700,1800,1600,1600,
Cote d'Ivoire,CIV,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,1.3,1.3,1.2,1.1,1.1,1,0.9,0.8,0.8,
Cote d'Ivoire,CIV,"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,23.50380729,24.25770463,25.01409618,25.77298193,26.53436189,27.19451365,27.24176877,27.28902388,27.336279,
Cote d'Ivoire,CIV,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,,,,,,,,,,
Cote d'Ivoire,CIV,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,21.3,20.9,20.4,19.9,19.7,19.5,,,,
Cote d'Ivoire,CIV,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2.9,2.7,2.6,2.4,2.3,2.2,2.1,1.9,1.8,
Cote d'Ivoire,CIV,"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,8.1,8,7.9,7.7,7.6,7.5,7.3,7.2,7.1,
Cote d'Ivoire,CIV,Number of under-five deaths,SH.DTH.MORT,74058,72266,71235,70456,69064,67245,66119,65106,64040,
Cote d'Ivoire,CIV,Number of deaths ages 20-24 years,SH.DTH.2024,5237,5141,5059,4999,4947,4908,4881,4872,4882,
Cote d'Ivoire,CIV,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,,,,,,,,,,
Cote d'Ivoire,CIV,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,51.9,51.7,51.5,51.3,51.1,50.9,,,,
Cote d'Ivoire,CIV,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,123.47373,124.84419,138.96225,150.17056,,,,,,
Cote d'Ivoire,CIV,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,12.75758,13.78098,15.7917,13.17057,13.27872,,,,,
Cote d'Ivoire,CIV,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,93.92783356,96.43412018,99.18286896,99.21671295,98.97348022,98.98497009,98.69290924,99.69283295,97.13134766,
Cote d'Ivoire,CIV,"School enrollment, tertiary (% gross)",SE.TER.ENRR,8.368300438,8.899279594,9.092769623,9.470000267,,9.912610054,9.7769804,10.23180008,10.62609005,
Cote d'Ivoire,CIV,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,,,,,,2.654190302,,5.46999979,4.473402023,
Cote d'Ivoire,CIV,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,,,,,,0.304985434,,0.850000024,0.264331609,
