Date,Country,GDP,Unemployment,Inflation,TEMP_AVG,PER_AVG
27.03.2014,Ghana,48843000000,4.412,15.489616,29.42,0
28.03.2014,Ghana,48843000000,4.412,15.489616,27.9,0
29.03.2014,Ghana,48843000000,4.412,15.489616,28.2,0
30.03.2014,Ghana,48843000000,4.412,15.489616,28.3,0
31.03.2014,Ghana,48843000000,4.412,15.489616,25.4,0
01.04.2014,Ghana,48843000000,4.412,15.489616,28.25,0
02.04.2014,Ghana,48843000000,4.412,15.489616,29.52,0
03.04.2014,Ghana,48843000000,4.412,15.489616,26.9,0
04.04.2014,Ghana,48843000000,4.412,15.489616,28.1,0
05.04.2014,Ghana,48843000000,4.412,15.489616,27.8,0
06.04.2014,Ghana,48843000000,4.412,15.489616,27.8,0
07.04.2014,Ghana,48843000000,4.412,15.489616,27.8,0
08.04.2014,Ghana,48843000000,4.412,15.489616,27.8,0
09.04.2014,Ghana,48843000000,4.412,15.489616,28.8,0
10.04.2014,Ghana,48843000000,4.412,15.489616,26.1,0
11.04.2014,Ghana,48843000000,4.412,15.489616,26.6,0
12.04.2014,Ghana,48843000000,4.412,15.489616,28.2,0
13.04.2014,Ghana,48843000000,4.412,15.489616,27.2,0
14.04.2014,Ghana,48843000000,4.412,15.489616,27.3,0
15.04.2014,Ghana,48843000000,4.412,15.489616,30.53333333,0
16.04.2014,Ghana,48843000000,4.412,15.489616,30.7,0
17.04.2014,Ghana,48843000000,4.412,15.489616,29.55714286,0
18.04.2014,Ghana,48843000000,4.412,15.489616,29,0
19.04.2014,Ghana,48843000000,4.412,15.489616,30.14,0
20.04.2014,Ghana,48843000000,4.412,15.489616,28.88,0
21.04.2014,Ghana,48843000000,4.412,15.489616,28.2,9.4
22.04.2014,Ghana,48843000000,4.412,15.489616,28.525,8.22
23.04.2014,Ghana,48843000000,4.412,15.489616,28.1,0
24.04.2014,Ghana,48843000000,4.412,15.489616,30.2,0
25.04.2014,Ghana,48843000000,4.412,15.489616,29.81428571,0
26.04.2014,Ghana,48843000000,4.412,15.489616,30.3125,0
27.04.2014,Ghana,48843000000,4.412,15.489616,27.21666667,3
28.04.2014,Ghana,48843000000,4.412,15.489616,28.4,0
29.04.2014,Ghana,48843000000,4.412,15.489616,27.58888889,6.2
30.04.2014,Ghana,48843000000,4.412,15.489616,29.0125,0
01.05.2014,Ghana,48843000000,4.412,15.489616,26.38333333,12.8
02.05.2014,Ghana,48843000000,4.412,15.489616,29.15,9.2
03.05.2014,Ghana,48843000000,4.412,15.489616,28.9,0
04.05.2014,Ghana,48843000000,4.412,15.489616,30.4,0
05.05.2014,Ghana,48843000000,4.412,15.489616,29.8,0
06.05.2014,Ghana,48843000000,4.412,15.489616,26.7,11.66666667
07.05.2014,Ghana,48843000000,4.412,15.489616,26.35,15.05
08.05.2014,Ghana,48843000000,4.412,15.489616,26.75714286,4.475
09.05.2014,Ghana,48843000000,4.412,15.489616,28.04444444,9.2625
10.05.2014,Ghana,48843000000,4.412,15.489616,29.65,0
11.05.2014,Ghana,48843000000,4.412,15.489616,28.36666667,21.1
12.05.2014,Ghana,48843000000,4.412,15.489616,29.4125,7.5
13.05.2014,Ghana,48843000000,4.412,15.489616,29.3,0
14.05.2014,Ghana,48843000000,4.412,15.489616,27.87777778,0
15.05.2014,Ghana,48843000000,4.412,15.489616,27.35,0
16.05.2014,Ghana,48843000000,4.412,15.489616,28.18,7.1
17.05.2014,Ghana,48843000000,4.412,15.489616,29.02222222,0.933333333
18.05.2014,Ghana,48843000000,4.412,15.489616,28.8,0
19.05.2014,Ghana,48843000000,4.412,15.489616,29.31111111,1
20.05.2014,Ghana,48843000000,4.412,15.489616,31.31428571,0
21.05.2014,Ghana,48843000000,4.412,15.489616,29.45555556,11.9
22.05.2014,Ghana,48843000000,4.412,15.489616,28.5625,4.775
23.05.2014,Ghana,48843000000,4.412,15.489616,28.64285714,0
24.05.2014,Ghana,48843000000,4.412,15.489616,30.31111111,0
25.05.2014,Ghana,48843000000,4.412,15.489616,30.75555556,0
26.05.2014,Ghana,48843000000,4.412,15.489616,29.01428571,0
27.05.2014,Ghana,48843000000,4.412,15.489616,27.26666667,11.63333333
28.05.2014,Ghana,48843000000,4.412,15.489616,27.93333333,0
29.05.2014,Ghana,48843000000,4.412,15.489616,27,18.56
30.05.2014,Ghana,48843000000,4.412,15.489616,29.24285714,0
31.05.2014,Ghana,48843000000,4.412,15.489616,28.51428571,5.6
01.06.2014,Ghana,48843000000,4.412,15.489616,28.025,0.166666667
02.06.2014,Ghana,48843000000,4.412,15.489616,25.45,0
03.06.2014,Ghana,48843000000,4.412,15.489616,29.2,0
04.06.2014,Ghana,48843000000,4.412,15.489616,28.32857143,0
05.06.2014,Ghana,48843000000,4.412,15.489616,25.92857143,38.96
06.06.2014,Ghana,48843000000,4.412,15.489616,26.14444444,48.55
07.06.2014,Ghana,48843000000,4.412,15.489616,26.41666667,0
08.06.2014,Ghana,48843000000,4.412,15.489616,28.2,12.26666667
09.06.2014,Ghana,48843000000,4.412,15.489616,28.61428571,0
10.06.2014,Ghana,48843000000,4.412,15.489616,27.32222222,8.825
11.06.2014,Ghana,48843000000,4.412,15.489616,27.57777778,8.18
12.06.2014,Ghana,48843000000,4.412,15.489616,25.16666667,0
13.06.2014,Ghana,48843000000,4.412,15.489616,26.73,9.1
14.06.2014,Ghana,48843000000,4.412,15.489616,28.16666667,1.775
15.06.2014,Ghana,48843000000,4.412,15.489616,28.26,0
16.06.2014,Ghana,48843000000,4.412,15.489616,26.1,48.75
17.06.2014,Ghana,48843000000,4.412,15.489616,27.4,0
18.06.2014,Ghana,48843000000,4.412,15.489616,27.4,0
19.06.2014,Ghana,48843000000,4.412,15.489616,27.6,0
20.06.2014,Ghana,48843000000,4.412,15.489616,27.47777778,0.766666667
21.06.2014,Ghana,48843000000,4.412,15.489616,26.9,0
22.06.2014,Ghana,48843000000,4.412,15.489616,26.9,0
23.06.2014,Ghana,48843000000,4.412,15.489616,26.95555556,7.5
24.06.2014,Ghana,48843000000,4.412,15.489616,25.6,0
25.06.2014,Ghana,48843000000,4.412,15.489616,28.05,0
26.06.2014,Ghana,48843000000,4.412,15.489616,27.45555556,0.4
27.06.2014,Ghana,48843000000,4.412,15.489616,25.3,0.8
28.06.2014,Ghana,48843000000,4.412,15.489616,26.2,0
29.06.2014,Ghana,48843000000,4.412,15.489616,25.7,0
30.06.2014,Ghana,48843000000,4.412,15.489616,25.6,0
01.07.2014,Ghana,48843000000,4.412,15.489616,27.575,1
02.07.2014,Ghana,48843000000,4.412,15.489616,27.25,0
03.07.2014,Ghana,48843000000,4.412,15.489616,26.4375,4.4
04.07.2014,Ghana,48843000000,4.412,15.489616,24.1,0
05.07.2014,Ghana,48843000000,4.412,15.489616,24.9,0.3
06.07.2014,Ghana,48843000000,4.412,15.489616,24.9,0
07.07.2014,Ghana,48843000000,4.412,15.489616,25.7,0
08.07.2014,Ghana,48843000000,4.412,15.489616,27.09,1
09.07.2014,Ghana,48843000000,4.412,15.489616,26.1,0
10.07.2014,Ghana,48843000000,4.412,15.489616,25.7,0
11.07.2014,Ghana,48843000000,4.412,15.489616,25.9,6.95
12.07.2014,Ghana,48843000000,4.412,15.489616,25.4,0
13.07.2014,Ghana,48843000000,4.412,15.489616,28.11,0
14.07.2014,Ghana,48843000000,4.412,15.489616,26.85,0
15.07.2014,Ghana,48843000000,4.412,15.489616,27.17777778,4.1
16.07.2014,Ghana,48843000000,4.412,15.489616,25.62,4.966666667
17.07.2014,Ghana,48843000000,4.412,15.489616,26.1,0
18.07.2014,Ghana,48843000000,4.412,15.489616,25.95,2
19.07.2014,Ghana,48843000000,4.412,15.489616,27.35,0
20.07.2014,Ghana,48843000000,4.412,15.489616,26.6,0.3
21.07.2014,Ghana,48843000000,4.412,15.489616,26.13333333,0
22.07.2014,Ghana,48843000000,4.412,15.489616,25.4,0
23.07.2014,Ghana,48843000000,4.412,15.489616,25.34,0
24.07.2014,Ghana,48843000000,4.412,15.489616,25.86666667,5.65
25.07.2014,Ghana,48843000000,4.412,15.489616,25.4,1.683333333
26.07.2014,Ghana,48843000000,4.412,15.489616,25.2,0
27.07.2014,Ghana,48843000000,4.412,15.489616,25.1,0
28.07.2014,Ghana,48843000000,4.412,15.489616,27.04444444,1.35
29.07.2014,Ghana,48843000000,4.412,15.489616,26.91111111,0.166666667
30.07.2014,Ghana,48843000000,4.412,15.489616,26.21111111,0.5
31.07.2014,Ghana,48843000000,4.412,15.489616,26.44,9.3
01.08.2014,Ghana,48843000000,4.412,15.489616,26.48333333,0
02.08.2014,Ghana,48843000000,4.412,15.489616,25.74,0.433333333
03.08.2014,Ghana,48843000000,4.412,15.489616,26.32222222,3.5
04.08.2014,Ghana,48843000000,4.412,15.489616,25.24,0
05.08.2014,Ghana,48843000000,4.412,15.489616,25.0375,0
06.08.2014,Ghana,48843000000,4.412,15.489616,26.05,0
