STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,29.05.2015,,,26.1,32.3,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,30.05.2015,,,26.7,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,31.05.2015,,,25.9,29.5,24.2
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.06.2015,,,27.6,,23.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.06.2015,,,26.5,,22.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.06.2015,,,26.1,30.8,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,04.06.2015,,,26.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,05.06.2015,,,27.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,06.06.2015,,,25.6,29,22.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,07.06.2015,,,25.5,,23.3
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,08.06.2015,,,24.8,28.4,22.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,09.06.2015,,,25.4,30.4,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,10.06.2015,,,27.1,,23.7
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.06.2015,1,,27.1,,23.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.06.2015,0,,22.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.06.2015,,,27.2,31.2,21.9
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,14.06.2015,,,25.7,29.2,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,15.06.2015,,,25.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,16.06.2015,,,27,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.06.2015,,,26.7,,23.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,18.06.2015,,,26.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,19.06.2015,,,25.8,,23.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,20.06.2015,,,24.7,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.06.2015,,,25.8,,23.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.06.2015,,,24.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,23.06.2015,,,27.6,,24
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,24.06.2015,,,27.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,25.06.2015,,,24.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,26.06.2015,,,26.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,27.06.2015,,,26.4,29.2,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,04.07.2015,,,24.6,,
