"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CMM00064860","GAROUA, CM","2014-04-09",,,"92",,
"CMM00064860","GAROUA, CM","2014-04-10",,,"91",,
"CMM00064860","GAROUA, CM","2014-04-11",,,"96",,
"CMM00064860","GAROUA, CM","2014-04-12",,,"95",,
"CMM00064860","GAROUA, CM","2014-04-13",,,"98",,
"CMM00064860","GAROUA, CM","2014-04-14",,,"98",,
"CMM00064860","GAROUA, CM","2014-04-15",,,"95","104","85"
"CMM00064860","GAROUA, CM","2014-04-16",,,"97","106",
"CMM00064860","GAROUA, CM","2014-04-17",,,"94","100","86"
"CMM00064860","GAROUA, CM","2014-04-18","0.00",,"93","105","82"
"CMM00064860","GAROUA, CM","2014-04-19","0.00",,"90","105",
"CMM00064860","GAROUA, CM","2014-04-20","0.00",,"89",,
"CMM00064860","GAROUA, CM","2014-04-21",,,"90",,"79"
"CMM00064860","GAROUA, CM","2014-04-22",,,"91","103",
"CMM00064860","GAROUA, CM","2014-04-23",,,"90","100",
"CMM00064860","GAROUA, CM","2014-04-24","1.34",,"82","88","71"
"CMM00064860","GAROUA, CM","2014-04-25","0.00",,"89",,
"CMM00064860","GAROUA, CM","2014-04-26",,,"92","101",
"CMM00064860","GAROUA, CM","2014-04-27",,,"82","97",
"CMM00064860","GAROUA, CM","2014-04-28",,,"83",,"72"
"CMM00064860","GAROUA, CM","2014-04-29",,,"88",,"76"
"CMM00064860","GAROUA, CM","2014-04-30",,,"91","99","84"
"CMM00064860","GAROUA, CM","2014-05-01",,,"85","97",
"CMM00064860","GAROUA, CM","2014-05-02",,,"90",,"78"
"CMM00064860","GAROUA, CM","2014-05-03",,,"90","98","81"
"CMM00064860","GAROUA, CM","2014-05-04",,,"90","99","80"
"CMM00064860","GAROUA, CM","2014-05-05",,,"86","95",
"CMM00064860","GAROUA, CM","2014-05-06",,,"85","92",
"CMM00064860","GAROUA, CM","2014-05-07",,,"86","96",
"CMM00064860","GAROUA, CM","2014-05-08",,,"87","94",
"CMM00064860","GAROUA, CM","2014-05-09",,,"87","92","80"
"CMM00064860","GAROUA, CM","2014-05-10",,,"91","100","80"
"CMM00064860","GAROUA, CM","2014-05-11",,,"92",,"81"
"CMM00064860","GAROUA, CM","2014-05-12",,,"90","100","83"
"CMM00064860","GAROUA, CM","2014-05-13","0.08",,"81","88",
"CMM00064860","GAROUA, CM","2014-05-14","0.02",,"84","91","75"
"CMM00064860","GAROUA, CM","2014-05-15","0.08",,"91","103","77"
"CMM00064860","GAROUA, CM","2014-05-16","0.00",,"91",,"78"
"CMM00064860","GAROUA, CM","2014-05-17",,,"92",,"79"
"CMM00064860","GAROUA, CM","2014-05-18",,,"94","103",
"CMM00064860","GAROUA, CM","2014-05-19",,,"94",,
"CMM00064860","GAROUA, CM","2014-05-20",,,"91","99","81"
"CMM00064860","GAROUA, CM","2014-05-21",,,"89",,"81"
"CMM00064860","GAROUA, CM","2014-05-22",,,"93","103","78"
"CMM00064860","GAROUA, CM","2014-05-23",,,"90","102",
"CMM00064860","GAROUA, CM","2014-05-24",,,"91","99",
"CMM00064860","GAROUA, CM","2014-05-25",,,"93","102",
"CMM00064860","GAROUA, CM","2014-05-26",,,"86","97",
"CMM00064860","GAROUA, CM","2014-05-27",,,"89",,
"CMM00064860","GAROUA, CM","2014-05-28","0.01",,"81",,
"CMM00064860","GAROUA, CM","2014-05-29","1.42",,"82","86","76"
"CMM00064860","GAROUA, CM","2014-05-30","0.00",,"84","92","76"
"CMM00064860","GAROUA, CM","2014-05-31",,,"86","98",
"CMM00064860","GAROUA, CM","2014-06-01",,,"88","97","76"
"CMM00064860","GAROUA, CM","2014-06-02",,,"81",,
"CMM00064860","GAROUA, CM","2014-06-03",,,"82",,"72"
"CMM00064860","GAROUA, CM","2014-06-04",,,"87","94","72"
"CMM00064860","GAROUA, CM","2014-06-05",,,"90","97","80"
"CMM00064860","GAROUA, CM","2014-06-06",,,"85","96",
"CMM00064860","GAROUA, CM","2014-06-07",,,"82","89","75"
"CMM00064860","GAROUA, CM","2014-06-08",,,"87","95","79"
"CMM00064860","GAROUA, CM","2014-06-09",,,"89","97",
"CMM00064860","GAROUA, CM","2014-06-10",,,"78","86",
"CMM00064860","GAROUA, CM","2014-06-11",,,"84","94",
"CMM00064860","GAROUA, CM","2014-06-12",,,"85",,
"CMM00064860","GAROUA, CM","2014-06-13",,,"88","96","81"
"CMM00064860","GAROUA, CM","2014-06-14",,,"86","94",
"CMM00064860","GAROUA, CM","2014-06-15",,,"88",,
"CMM00064860","GAROUA, CM","2014-06-16","0.12",,"85",,"72"
"CMM00064860","GAROUA, CM","2014-06-17","0.00",,"87","97","77"
"CMM00064860","GAROUA, CM","2014-06-18","0.47",,"84","94","74"
"CMM00064860","GAROUA, CM","2014-06-19","1.50",,"78","85","68"
"CMM00064860","GAROUA, CM","2014-06-20","0.00",,"84",,"74"
"CMM00064860","GAROUA, CM","2014-06-21",,,"81",,
"CMM00064860","GAROUA, CM","2014-06-22",,,"84","92",
"CMM00064860","GAROUA, CM","2014-06-23","1.34",,"76",,"69"
"CMM00064860","GAROUA, CM","2014-06-24","0.12",,"83",,"72"
"CMM00064860","GAROUA, CM","2014-06-25","0.00",,"85",,"72"
"CMM00064860","GAROUA, CM","2014-06-26",,,"83",,"72"
"CMM00064860","GAROUA, CM","2014-06-27",,,"87",,"78"
"CMM00064860","GAROUA, CM","2014-06-28",,,"83",,
"CMM00064860","GAROUA, CM","2014-06-29",,,"82",,
"CMM00064860","GAROUA, CM","2014-06-30",,,"81","88",
"CMM00064860","GAROUA, CM","2014-07-01",,,"89","97","76"
"CMM00064860","GAROUA, CM","2014-07-02",,,"87",,"78"
"CMM00064860","GAROUA, CM","2014-07-03","0.59",,"77","84","69"
"CMM00064860","GAROUA, CM","2014-07-04","0.00",,"82","89",
"CMM00064860","GAROUA, CM","2014-07-05",,,"83","90",
"CMM00064860","GAROUA, CM","2014-07-06",,,"83",,"76"
"CMM00064860","GAROUA, CM","2014-07-07",,,"86","92",
"CMM00064860","GAROUA, CM","2014-07-08","0.91",,"77","81","71"
"CMM00064860","GAROUA, CM","2014-07-09","0.00",,"81",,
"CMM00064860","GAROUA, CM","2014-07-10",,,"84","90",
"CMM00064860","GAROUA, CM","2014-07-11",,,"85","92","76"
"CMM00064860","GAROUA, CM","2014-07-12","0.28",,"78",,"73"
"CMM00064860","GAROUA, CM","2014-07-13","0.00",,"85","92","74"
"CMM00064860","GAROUA, CM","2014-07-14",,,"87",,"78"
"CMM00064860","GAROUA, CM","2014-07-15","0.63",,"80","86","72"
"CMM00064860","GAROUA, CM","2014-07-16","0.00",,"76","81",
"CMM00064860","GAROUA, CM","2014-07-17","0.28",,"80","86","73"
"CMM00064860","GAROUA, CM","2014-07-18","0.01",,"83",,"75"
"CMM00064860","GAROUA, CM","2014-07-19","0.00",,"83","90",
"CMM00064860","GAROUA, CM","2014-07-20",,,"86","94","77"
"CMM00064860","GAROUA, CM","2014-07-21",,,"84",,
"CMM00064860","GAROUA, CM","2014-07-22","0.00",,"81",,
"CMM00064860","GAROUA, CM","2014-07-23","0.00",,"84",,"78"
"CMM00064860","GAROUA, CM","2014-07-24","0.02",,"83","90","77"
"CMM00064860","GAROUA, CM","2014-07-25","0.08",,"81",,"76"
"CMM00064860","GAROUA, CM","2014-07-26","0.00",,"84",,
"CMM00064860","GAROUA, CM","2014-07-27",,,"88",,
"CMM00064860","GAROUA, CM","2014-07-28",,,"83","90",
"CMM00064860","GAROUA, CM","2014-07-29",,,"81","89","74"
"CMM00064860","GAROUA, CM","2014-07-30",,,"84","92","75"
"CMM00064860","GAROUA, CM","2014-07-31",,,"84","91","78"
"CMM00064860","GAROUA, CM","2014-08-01","0.00",,"80","90",
"CMM00064860","GAROUA, CM","2014-08-02","1.34",,"80","90","73"
"CMM00064860","GAROUA, CM","2014-08-03","0.00",,"82","88","73"
"CMM00064860","GAROUA, CM","2014-08-04",,,"76","81",
"CMM00064860","GAROUA, CM","2014-08-05",,,"80","87","72"
"CMM00064860","GAROUA, CM","2014-08-06",,,"82","89",
"CMM00064860","GAROUA, CM","2014-08-07",,,"82",,"75"
"CMM00064860","GAROUA, CM","2014-08-08","0.00",,"80","86",
"CMM00064860","GAROUA, CM","2014-08-09","0.00",,"83","91","73"
"CMM00064860","GAROUA, CM","2014-08-10",,,"85","91",
"CMM00064860","GAROUA, CM","2014-08-11","0.12",,"77","81",
"CMM00064860","GAROUA, CM","2014-08-12","0.08",,"81","98","73"
"CMM00064860","GAROUA, CM","2014-08-13","0.02",,"82","88","75"
"CMM00064860","GAROUA, CM","2014-08-14","0.00",,"84","90",
"CMM00064860","GAROUA, CM","2014-08-15",,,"78",,
"CMM00064860","GAROUA, CM","2014-08-16",,,"84","91",
"CMM00064860","GAROUA, CM","2014-08-17","0.43",,"79","88","71"
"CMM00064860","GAROUA, CM","2014-08-18","0.28",,"78",,
"CMM00064860","GAROUA, CM","2014-08-19","0.79",,"81",,"72"
"CMM00064860","GAROUA, CM","2014-08-20","0.00",,"83","90",
"CMM00064860","GAROUA, CM","2014-08-21","0.00",,"73",,
"CMM00064860","GAROUA, CM","2014-08-22","1.34",,"77",,"69"
